author,viewcount,num,av,max_viewcount,fans
142458006,938937,5,35282076,877443,
283834289,938902,23,49751914,68944,
7668570,938606,44,46389331,282150,
393086992,936998,174,43655385,246565,
27695113,936048,1,51750982,936048,
227497208,935037,23,37126223,150943,
393082885,933577,12,40481186,151212,
402874478,931555,17,50908615,434585,
95667399,931343,8,44031918,557114,
398041952,930696,64,43725669,224976,
85738972,929041,3,37786685,552967,
392503631,925505,134,40801786,272848,
386767602,923628,28,47262242,463844,
14533391,923596,31,41188567,227688,
65801422,921260,2,41115927,890173,
233156639,920942,16,41817643,555496,
356373911,920428,4,37846683,611042,
284587213,919172,4,36067308,823445,
8321796,916695,10,35594325,324664,
107961740,916503,50,35087928,143202,
389348994,916076,21,48303775,492854,
43928478,915234,121,41475618,169336,
300719041,914174,39,40582824,421679,
239414858,912762,98,40977553,115026,
396918259,909465,87,43496486,184726,
10625483,908246,11,48749528,217875,
1693461,899621,2,38878747,898060,
4117339,898690,44,43937930,54191,
35843842,898008,32,48163356,276367,
7040662,896526,2,40358834,602644,
2790716,893239,39,35674650,562710,
401329689,892718,1,48269951,892718,
28804517,892483,1,51744101,892483,
43022748,890500,56,42750052,508227,
104438885,889792,6,37811313,844852,
415177454,889352,233,49215449,317953,
395683988,887578,9,45695915,854470,
21502865,885095,15,41052188,327395,
326120017,884428,55,47220193,225547,
388119854,884296,7,37954033,692050,
106555,881735,3,42661454,555168,
229936625,880968,71,38815135,121388,
114331114,880030,29,36473124,144821,
20100227,874735,33,44132920,204476,
397633168,873448,39,51218405,139420,
100454030,870056,31,48738704,132585,
35029212,865802,26,50067568,291696,
34550080,861067,182,38299693,186093,
388814422,860455,6,43142804,659394,
394464895,859133,46,40375431,389488,
17101765,854577,28,42710452,326600,
45941243,853802,43,51171793,252844,
2603774,850352,5,45718355,785707,
49688838,849844,7,49003814,746149,
546623,849504,76,38035976,132735,
389907376,848249,58,43295396,168310,
335126431,847766,18,35574944,544011,
323895444,847481,8,37692544,335642,
400567113,845236,8,42980920,477310,
85304291,844044,3,45803734,840935,
252038901,838322,1,43361278,838322,
43130503,838194,13,38166425,431608,
4202446,836559,2,43401758,824748,
210123001,836408,44,50142524,136006,
41003791,835727,52,37057042,122329,
192141424,835518,13,40099661,585499,
24615200,835502,7,35793122,812491,
345985978,832866,12,40512406,591612,
292680612,832673,8,40522770,274181,
30914653,832130,51,50424880,137899,
5840992,831371,3,49262393,438108,
387112389,831311,36,36648088,507046,
23515319,831158,29,38832427,385867,
18176773,830797,74,40281280,88022,
295496935,829461,45,41414190,223483,
17411953,828760,4,46281432,324892,
31012777,828693,55,35742216,353252,
7518633,827470,2,43685595,821088,
405986040,825694,36,50489311,180151,
4888022,825453,55,39533112,111335,
92998,822180,12,35498173,385579,
176856921,819962,20,44949725,580674,
3890521,818821,10,48174111,143733,
22556383,818783,16,37211164,483784,
17600183,818579,3,35508627,468502,
81666097,815714,26,42618053,212029,
413957261,814946,4,48771866,768925,
381433671,814747,4,49802900,800823,
11809369,811678,1,42444675,811678,
76499949,811656,27,37808418,343092,
383639698,811610,45,36572620,101938,
386698385,810733,13,38616397,404973,
363744144,810648,30,48949755,738255,
381172164,809392,1,35974892,809392,
335599861,807894,16,38889291,406702,
108469392,806834,10,35192825,300661,
161842196,804922,52,46349508,395316,
194477207,803638,16,36603394,300581,
388450225,803130,25,38111646,441499,
61527399,800761,10,49638721,123034,
236635799,800017,4,35597555,442745,
85732470,800003,57,39204772,42232,
223814906,799016,50,43041041,151156,
137815299,794711,21,38926628,130069,
395644583,794476,14,41924763,388681,
123102449,794051,10,38875591,301227,
19453986,792885,5,47892256,654996,
388251119,792391,25,39135792,324995,
58629977,791318,21,41945071,323871,
179625502,790839,21,46329419,126325,
176909715,788548,26,40672710,462110,
354047289,787767,3,49044967,737032,
31001508,785335,39,44569338,247775,
362851835,785126,5,38549299,693487,
394604545,783669,114,51533470,253980,
388194385,781256,174,41445783,126393,
26199616,780131,24,36771444,481984,
72633833,779727,2,45620131,779594,
77195644,774906,1,37530371,774906,
4234881,772904,15,46793896,297187,
6335523,772551,105,52114026,47973,
107027990,772334,62,36235405,178936,
37567700,770602,3,41843939,677571,
19732846,770376,29,39868246,221369,
280690786,768808,8,48783626,316409,
391803368,767705,80,43777379,121489,
1586105,765669,2,36890883,712925,
737204,764853,3,36093128,639570,
24637870,764092,12,39367631,190570,
406334020,764074,36,46654998,85113,
259525760,759932,16,52102477,480845,
534461,759524,17,41949304,204663,
27972532,755146,9,45167260,704467,
86851335,754583,14,46186257,167210,
25008158,754338,1,36594405,754338,
329886897,753286,21,36148803,213915,
392484862,752446,139,43764646,157289,
383386173,752180,4,51789700,521917,
282872934,752014,45,50360179,542781,
204086589,751451,69,40577296,93443,
29631579,751082,20,45973720,165393,
772840,750075,54,46003606,51987,
2162163,749475,57,42676146,22117,
40265072,748005,13,44715022,622035,
400644187,745087,82,43117809,330483,
35757159,743129,9,40116551,605380,
36019966,742972,8,41041941,223681,
369417844,739834,12,46066745,358705,
123659314,739580,16,41698684,689907,
27160542,738875,57,42035303,155522,
83520869,738126,10,42179580,236900,
355176658,737709,8,36074510,307678,
1966938,736422,43,47771758,332682,
398039522,735630,64,43936291,246261,
24822339,734778,55,35119824,579105,
392475125,730191,147,42052328,177378,
382453897,728521,8,40711625,565470,
41030469,727610,2,37803122,447124,
2961015,725780,31,39812459,39223,
389569437,725266,30,39060588,212423,
8665350,723724,90,35716153,40180,
762048,723504,22,39871348,100457,
388104705,723420,7,37778795,634688,
31163745,722966,12,49077719,192462,
12882255,722326,130,44405966,111325,
403300375,722177,17,45138431,388663,
56752692,721616,64,49920235,275803,
383671474,719292,5,41741263,545982,
351007642,718980,11,37564914,247521,
2401377,717613,7,46673433,472267,
313279718,717473,4,39084127,666720,
406691806,716687,800,46705258,401025,
219419237,713752,8,51528702,479373,
413303534,711585,1,50070939,711585,
28629379,709292,38,35292995,237297,
105497106,707795,9,45491072,470308,
22854428,706494,16,40313319,117106,
43381994,704062,17,37752660,360974,
186781749,703600,26,51073162,271364,
244229449,703087,11,39892893,390611,
165740648,702271,43,48548021,141414,
6739643,700179,3,50815280,322408,
385845378,699964,14,35494334,162083,
235555226,698675,14,41690061,263434,
161805544,697370,2,44870781,694558,
76940654,696714,61,37663151,215478,
384686392,695054,7,35870855,664743,
389505310,694859,1,38077527,694859,
156909583,692799,44,36811406,213685,
291234361,692604,18,49550299,75171,
11831005,691913,115,41922413,45955,
42230125,691806,24,38590700,152622,
173581112,691348,2,40493752,470488,
17707987,688625,3,36683631,599816,
141276992,688555,181,37797741,42255,
395182897,688475,26,42952616,250133,
325015760,688413,66,40034477,94443,
398039250,688208,61,43730577,261423,
60167192,687515,10,45613216,314908,
42643721,686716,34,37765880,134264,
11365867,686476,1,40668681,686476,
10337560,685379,20,42695267,153105,
416905489,683377,8,49969975,630123,
131184355,682712,1,43810762,682712,
4737669,681053,18,45176833,185343,
4716926,680273,893,38731563,27944,
380748553,679066,82,40894529,204377,
360399639,678530,2,35497295,678375,
15482108,677866,127,35628382,42804,
316380887,673996,39,47212209,77535,
302181979,672637,27,48518268,312340,
21584475,672028,8,43119301,317971,
19318739,669919,55,43070498,153914,
411559057,667889,15,49688043,473009,
8980470,666222,46,46353019,160554,
379342393,665312,10,37628009,640322,
8743460,664659,24,41283588,206027,
308952096,664199,14,47471559,302105,
386851042,662548,78,36221973,193610,
31534062,662322,29,40801405,114025,
