author,viewcount,num,av,max_viewcount,fans,tot_num
14533391,923596,31,41188567,227688,541,
65801422,921260,2,41115927,890173,538,
233156639,920942,16,41817643,555496,36258,
356373911,920428,4,37846683,611042,753,
284587213,919172,4,36067308,823445,549,
8321796,916695,10,35594325,324664,2568,
107961740,916503,50,35087928,143202,45178,
389348994,916076,21,48303775,492854,325,
43928478,915234,121,41475618,169336,5677,
300719041,914174,39,40582824,421679,3755,
239414858,912762,98,40977553,115026,2575,
396918259,909465,87,43496486,184726,117,
10625483,908246,11,48749528,217875,19324,
1693461,899621,2,38878747,898060,596,
4117339,898690,44,43937930,54191,18984,
35843842,898008,32,48163356,276367,23365,
7040662,896526,2,40358834,602644,963,
2790716,893239,39,35674650,562710,10708,
401329689,892718,1,48269951,892718,274,
28804517,892483,1,51744101,892483,514,
43022748,890500,56,42750052,508227,21581,
104438885,889792,6,37811313,844852,502,
415177454,889352,233,49215449,317953,162,
395683988,887578,9,45695915,854470,193,
21502865,885095,15,41052188,327395,1687,
326120017,884428,55,47220193,225547,769,
388119854,884296,7,37954033,692050,1076,
106555,881735,3,42661454,555168,1019,
229936625,880968,71,38815135,121388,961,
114331114,880030,29,36473124,144821,4003,
20100227,874735,33,44132920,204476,24626,
397633168,873448,39,51218405,139420,544,
100454030,870056,31,48738704,132585,2960,
35029212,865802,26,50067568,291696,707,
34550080,861067,182,38299693,186093,206,
388814422,860455,6,43142804,659394,470,
394464895,859133,46,40375431,389488,1418,
17101765,854577,28,42710452,326600,12550,
45941243,853802,43,51171793,252844,792,
2603774,850352,5,45718355,785707,297,
49688838,849844,7,49003814,746149,110079,
546623,849504,76,38035976,132735,8414,
389907376,848249,58,43295396,168310,494,
335126431,847766,18,35574944,544011,313,
323895444,847481,8,37692544,335642,32599,
400567113,845236,8,42980920,477310,581,
85304291,844044,3,45803734,840935,280,
252038901,838322,1,43361278,838322,162,
43130503,838194,13,38166425,431608,207,
4202446,836559,2,43401758,824748,291,
210123001,836408,44,50142524,136006,294,
41003791,835727,52,37057042,122329,3359,
192141424,835518,13,40099661,585499,1050,
24615200,835502,7,35793122,812491,1234,
345985978,832866,12,40512406,591612,380,
292680612,832673,8,40522770,274181,1664,
30914653,832130,51,50424880,137899,142,
5840992,831371,3,49262393,438108,179,
387112389,831311,36,36648088,507046,248,
23515319,831158,29,38832427,385867,1753,
18176773,830797,74,40281280,88022,234,
295496935,829461,45,41414190,223483,1144,
17411953,828760,4,46281432,324892,479313,
31012777,828693,55,35742216,353252,1874,
7518633,827470,2,43685595,821088,6920,
405986040,825694,36,50489311,180151,55350,
4888022,825453,55,39533112,111335,324420,
92998,822180,12,35498173,385579,25447,
176856921,819962,20,44949725,580674,505,
3890521,818821,10,48174111,143733,37002,
22556383,818783,16,37211164,483784,10617,
17600183,818579,3,35508627,468502,313,
81666097,815714,26,42618053,212029,718,
413957261,814946,4,48771866,768925,528,
381433671,814747,4,49802900,800823,373,
11809369,811678,1,42444675,811678,264,
76499949,811656,27,37808418,343092,365,
383639698,811610,45,36572620,101938,336,
386698385,810733,13,38616397,404973,291,
363744144,810648,30,48949755,738255,1289,
381172164,809392,1,35974892,809392,410,
335599861,807894,16,38889291,406702,3905,
108469392,806834,10,35192825,300661,2041,
161842196,804922,52,46349508,395316,1471,
194477207,803638,16,36603394,300581,3186,
388450225,803130,25,38111646,441499,617,
61527399,800761,10,49638721,123034,462576,
236635799,800017,4,35597555,442745,900,
85732470,800003,57,39204772,42232,33102,
223814906,799016,50,43041041,151156,1259,
137815299,794711,21,38926628,130069,20008,
395644583,794476,14,41924763,388681,164,
123102449,794051,10,38875591,301227,1713,
19453986,792885,5,47892256,654996,907,
388251119,792391,25,39135792,324995,179,
58629977,791318,21,41945071,323871,1752,
179625502,790839,21,46329419,126325,5002,
176909715,788548,26,40672710,462110,1965,
354047289,787767,3,49044967,737032,607,
31001508,785335,39,44569338,247775,2657,
362851835,785126,5,38549299,693487,781,
394604545,783669,114,51533470,253980,335,
388194385,781256,174,41445783,126393,235,
26199616,780131,24,36771444,481984,1857,
72633833,779727,2,45620131,779594,427,
77195644,774906,1,37530371,774906,70786,
4234881,772904,15,46793896,297187,231,
6335523,772551,105,52114026,47973,43114,
107027990,772334,62,36235405,178936,792,
37567700,770602,3,41843939,677571,4908,
19732846,770376,29,39868246,221369,11177,
280690786,768808,8,48783626,316409,104,
391803368,767705,80,43777379,121489,135,
1586105,765669,2,36890883,712925,15638,
737204,764853,3,36093128,639570,373,
24637870,764092,12,39367631,190570,36001,
406334020,764074,36,46654998,85113,8119,
259525760,759932,16,52102477,480845,121,
534461,759524,17,41949304,204663,22751,
27972532,755146,9,45167260,704467,1108,
86851335,754583,14,46186257,167210,142995,
25008158,754338,1,36594405,754338,5684,
329886897,753286,21,36148803,213915,4700,
392484862,752446,139,43764646,157289,113,
383386173,752180,4,51789700,521917,265,
282872934,752014,45,50360179,542781,190,
204086589,751451,69,40577296,93443,2727,
29631579,751082,20,45973720,165393,419,
772840,750075,54,46003606,51987,1841,
2162163,749475,57,42676146,22117,8762,
40265072,748005,13,44715022,622035,443,
400644187,745087,82,43117809,330483,467,
35757159,743129,9,40116551,605380,12211,
36019966,742972,8,41041941,223681,116709,
369417844,739834,12,46066745,358705,367,
123659314,739580,16,41698684,689907,562,
27160542,738875,57,42035303,155522,180,
83520869,738126,10,42179580,236900,1528,
355176658,737709,8,36074510,307678,1654,
1966938,736422,43,47771758,332682,2745,
398039522,735630,64,43936291,246261,248,
24822339,734778,55,35119824,579105,8117,
392475125,730191,147,42052328,177378,101,
382453897,728521,8,40711625,565470,3372,
41030469,727610,2,37803122,447124,7638,
2961015,725780,31,39812459,39223,13415,
389569437,725266,30,39060588,212423,598,
8665350,723724,90,35716153,40180,20762,
762048,723504,22,39871348,100457,157403,
388104705,723420,7,37778795,634688,265,
31163745,722966,12,49077719,192462,102481,
12882255,722326,130,44405966,111325,5972,
403300375,722177,17,45138431,388663,347,
56752692,721616,64,49920235,275803,1684,
383671474,719292,5,41741263,545982,1066,
351007642,718980,11,37564914,247521,1585,
2401377,717613,7,46673433,472267,957,
313279718,717473,4,39084127,666720,704,
406691806,716687,800,46705258,401025,679,
219419237,713752,8,51528702,479373,3722,
413303534,711585,1,50070939,711585,197,
28629379,709292,38,35292995,237297,4948,
105497106,707795,9,45491072,470308,282,
22854428,706494,16,40313319,117106,1583,
43381994,704062,17,37752660,360974,265,
186781749,703600,26,51073162,271364,1638,
244229449,703087,11,39892893,390611,1371,
165740648,702271,43,48548021,141414,587,
6739643,700179,3,50815280,322408,837409,
385845378,699964,14,35494334,162083,237,
